file_path,original_text,character,zhtw
gup_crew_25_hippo/sentences/ally_killed_by_player_01.json,Hey! That was an ally!,caesar,喂！那是友軍啊！
gup_crew_25_hippo/sentences/ally_killed_by_player_02.json,That's an ally. We've had enough of two-front war.,erwin,那是友軍。我們可不想再體驗兩面作戰了。
gup_crew_25_hippo/sentences/ally_killed_by_player_03.json,Hm? That was an ally.,saemonza,嗯？那是友軍啊。
gup_crew_25_hippo/sentences/ally_killed_by_player_04.json,You hit an ally.,oryou,你打到友軍了。
gup_crew_25_hippo/sentences/ally_killed_by_player_05.json,Fighting among ourselves is not a great idea.,erwin,自相殘殺可不是個好主意。
gup_crew_25_hippo/sentences/ammo_bay_damaged_01.json,"They got our ammo rack... Be careful, it might explode.",erwin,我們的彈藥架被擊中了...小心，可能會爆炸的。
gup_crew_25_hippo/sentences/ammo_bay_damaged_02.json,They are targeting the ammo rack. There is a higher risk of explosion now.,caesar,他們盯上彈藥架了。現在爆炸的風險很高。
gup_crew_25_hippo/sentences/ammo_bay_damaged_03.json,The ammo rack is hit. It's not looking good.,caesar,彈藥架被擊中了。情況不妙。
gup_crew_25_hippo/sentences/ammo_bay_damaged_04.json,They've hit the ammo rack. We might have underestimated them.,saemonza,他們擊中了彈藥架。我們可能低估他們了。
gup_crew_25_hippo/sentences/armor_not_pierced_by_player_01.json,Blocked...,erwin,被擋下了...
gup_crew_25_hippo/sentences/armor_not_pierced_by_player_02.json,Blocked by their armor.,caesar,被他們的裝甲擋下了。
gup_crew_25_hippo/sentences/armor_not_pierced_by_player_03.json,We hit them but did not penetrate.,saemonza,打中了，但未能擊穿。
gup_crew_25_hippo/sentences/armor_not_pierced_by_player_04.json,We've failed to penetrate their armor.,saemonza,我們未能擊穿他們的裝甲。
gup_crew_25_hippo/sentences/armor_not_pierced_by_player_05.json,It doesn't look like that did any damage.,oryou,看來那沒有造成任何傷害。
gup_crew_25_hippo/sentences/armor_pierced_by_player_01.json,"Hmm, good work.",erwin,哼，幹得好。
gup_crew_25_hippo/sentences/armor_pierced_by_player_02.json,Excellent!,caesar,太出色了！
gup_crew_25_hippo/sentences/armor_pierced_by_player_03.json,Penetrated!,saemonza,擊穿了！
gup_crew_25_hippo/sentences/armor_pierced_by_player_04.json,We did it!,oryou,成功了！
gup_crew_25_hippo/sentences/armor_pierced_by_player_05.json,How about that!,saemonza,這下如何啊！
gup_crew_25_hippo/sentences/armor_pierced_crit_by_player_01.json,Looks like they are taking damage.,oryou,看來他們受到傷害了。
gup_crew_25_hippo/sentences/armor_pierced_crit_by_player_02.json,Damage to enemy vehicle confirmed!,erwin,確認對敵方車輛造成傷害！
gup_crew_25_hippo/sentences/armor_pierced_crit_by_player_03.json,"It's alright, we did hit them.",saemonza,沒關係，我們確實擊中他們了。
gup_crew_25_hippo/sentences/armor_ricochet_by_player_01.json,"Hmm, ricochet.",erwin,嗯，跳彈。
gup_crew_25_hippo/sentences/armor_ricochet_by_player_02.json,Looks like that one bounced...,erwin,看來那一發被彈開了...
gup_crew_25_hippo/sentences/armor_ricochet_by_player_03.json,Ricochet!?,erwin,跳彈！？
gup_crew_25_hippo/sentences/armor_ricochet_by_player_04.json,That one bounced.,caesar,那一發彈開了。
gup_crew_25_hippo/sentences/armor_ricochet_by_player_05.json,That ricocheted. Maybe it is the angle.,caesar,發生跳彈了。也許是角度的問題。
gup_crew_25_hippo/sentences/armor_ricochet_by_player_06.json,Looks like a ricochet.,caesar,看來是跳彈了。
gup_crew_25_hippo/sentences/armor_ricochet_by_player_07.json,Ricochet. Disappointed...!,saemonza,跳彈。真令人失望...！
gup_crew_25_hippo/sentences/armor_ricochet_by_player_08.json,That hit them but then bounced off.,saemonza,擊中他們了，但被彈開了。
gup_crew_25_hippo/sentences/armor_ricochet_by_player_09.json,That one bounced...,saemonza,那一發被彈開了...
gup_crew_25_hippo/sentences/armor_ricochet_by_player_10.json,"No worries, we are hitting them. Load the next shell quickly.",erwin,別擔心，我們有打中他們。快裝填下一發炮彈。
gup_crew_25_hippo/sentences/armor_ricochet_by_player_10.json,Copy that.,caesar,收到。
gup_crew_25_hippo/sentences/armor_ricochet_by_player_11.json,Ricochet.,oryou,跳彈。
gup_crew_25_hippo/sentences/armor_ricochet_by_player_12.json,Bounced off. We may wanna change the angle.,oryou,被彈開了。我們最好換個角度。
gup_crew_25_hippo/sentences/armor_ricochet_by_player_12.json,Uh-huh.,saemonza,嗯。
gup_crew_25_hippo/sentences/armor_ricochet_by_player_13.json,Almost.,oryou,差一點。
gup_crew_25_hippo/sentences/armor_ricochet_by_player_14.json,Ricochet. Maybe the angle was too tight.,oryou,跳彈。也許角度太小了。
gup_crew_25_hippo/sentences/armor_ricochet_by_player_15.json,That one bounced off.,erwin,那一發被彈開了。
gup_crew_25_hippo/sentences/armor_ricochet_by_player_15.json,Next time...!,saemonza,下一次...！
gup_crew_25_hippo/sentences/commander_killed_01.json,I got hit. I'll rest for a while...,erwin,我被打中了。我要休息一下...
gup_crew_25_hippo/sentences/commander_killed_02.json,"Erwin, are you alright!?",caesar,埃爾文，你沒事吧！？
gup_crew_25_hippo/sentences/commander_killed_02.json,Gah... That one hurt.,erwin,呃...那下真痛。
gup_crew_25_hippo/sentences/commander_killed_03.json,You got me good...,erwin,你這下打得真狠...
gup_crew_25_hippo/sentences/commander_killed_04.json,"Erwin, are you hurt?",saemonza,埃爾文，你受傷了嗎？
gup_crew_25_hippo/sentences/commander_killed_05.json,"Erwin, are you alright!?",oryou,埃爾文，你沒事吧！？
gup_crew_25_hippo/sentences/commander_killed_06.json,"Darn, someone cover me.",caesar,可惡，誰來掩護我。
gup_crew_25_hippo/sentences/commander_killed_06.json,Got it.	,saemonza,了解。
gup_crew_25_hippo/sentences/commander_killed_07.json,I need a short rest...,erwin,我需要稍微休息一下...
gup_crew_25_hippo/sentences/crew_deactivated_01.json,Looks like it's the end for us. Let's get out.,caesar,看來我們就到此為止了。我們撤退吧。
gup_crew_25_hippo/sentences/crew_deactivated_02.json,Ugh... We let our guard down.,oryou,呃...我們太大意了。
gup_crew_25_hippo/sentences/crew_deactivated_03.json,I guess this is where we all fall...,erwin,看來這裡就是我們的殞命之處了...
gup_crew_25_hippo/sentences/crew_deactivated_04.json,There is no shame in falling on the battlefield...!,saemonza,在戰場上倒下並不丟臉...！
gup_crew_25_hippo/sentences/crew_deactivated_05.json,I didn't think it would end like this.,caesar,我沒想到會以這種方式結束。
gup_crew_25_hippo/sentences/crew_deactivated_05.json,We go again.,oryou,我們再來一次。
gup_crew_25_hippo/sentences/damage_by_near_explosion_by_player_01.json,Almost a direct hit.,erwin,差一點就直接命中了。
gup_crew_25_hippo/sentences/damage_by_near_explosion_by_player_02.json,That one wasn't a direct hit.,caesar,那一發沒有直接命中。
gup_crew_25_hippo/sentences/damage_by_near_explosion_by_player_03.json,"Thought we had them, but...",saemonza,還以為我們得手了，但...
gup_crew_25_hippo/sentences/damage_by_near_explosion_by_player_04.json,We'll get them next time!,oryou,下次一定能解決他們！
gup_crew_25_hippo/sentences/damage_by_near_explosion_by_player_05.json,Stay calm. We make the next one count.,erwin,保持冷靜。我們讓下一發確實命中。
gup_crew_25_hippo/sentences/damage_by_near_explosion_by_player_05.json,Oooo!,saemonza,喔喔喔！
gup_crew_25_hippo/sentences/driver_killed_01.json,Woah! Ouch...,oryou,哇！好痛...
gup_crew_25_hippo/sentences/driver_killed_02.json,They are aiming at the driver's seat!,erwin,他們在瞄準駕駛座！
gup_crew_25_hippo/sentences/driver_killed_03.json,"Did that hit the driver's seat!? Oryo, are you alright?",caesar,那發擊中駕駛座了嗎！？阿龍，你沒事吧？
gup_crew_25_hippo/sentences/driver_killed_03.json,Just about alright...,oryou,勉強沒事...
gup_crew_25_hippo/sentences/driver_killed_04.json,They are targeting the driver's seat. Be careful!,saemonza,他們盯上駕駛座了。小心點！
